program - simb_program
nome1 - id
; - simb_ponto_virgula
var - simb_var
a - id
, - simb_virgula
a1 - id
, - simb_virgula
b - id
: - simb_dois_pontos
integer - simb_tipo_inteiro
; - simb_ponto_virgula
begin - simb_iniciar
read - simb_leia
( - simb_abre_parenteses
a - id
) - simb_fecha_parenteses
; - simb_ponto_virgula
a1 - id
:= - simb_atribuicao
a1 - id
* - simb_asterisco
2 - numero_inteiro
; - simb_ponto_virgula
while - simb_enquanto
( - simb_abre_parenteses
a1 - id
> - simb_maior
0 - numero_inteiro
) - simb_fecha_parenteses
do - simb_faca
begin - simb_iniciar
write - simb_escreva
( - simb_abre_parenteses
a1 - id
) - simb_fecha_parenteses
; - simb_ponto_virgula
a1 - id
:= - simb_atribuicao
a1 - id
- - simb_menos
1 - numero_inteiro
; - simb_ponto_virgula
end - simb_fim
; - simb_ponto_virgula
for - id
b - id
:= - simb_atribuicao
1 - numero_inteiro
to - id
10 - numero_inteiro
do - simb_faca
begin - simb_iniciar
b - id
:= - simb_atribuicao
b - id
+ - simb_mais
2 - numero_inteiro
; - simb_ponto_virgula
a - id
:= - simb_atribuicao
a - id
- - simb_menos
1 - numero_inteiro
; - simb_ponto_virgula
end - simb_fim
; - simb_ponto_virgula
if - simb_se
a - id
<> - simb_diferente
b - id
then - simb_entao
write - simb_escreva
( - simb_abre_parenteses
a - id
) - simb_fecha_parenteses
; - simb_ponto_virgula
end - simb_fim
. - simb_ponto
